Match ID,Date,Team 1,Team 2,Team 1 xP,Team 2 xP,Team 1 xG,Team 2 xG,Team 1 Win %,Team 2 Win %,Draw %
14168736,26/12/2025,Radcliffe,Curzon Ashton,2.67514,0.21682,2.57096,0.56166,85.57,3.626,10.804
14168738,26/12/2025,King's Lynn,Peterborough,2.0687,0.69758,2.276,1.36228,61.166,15.462,23.372
14168739,26/12/2025,Macclesfield,Buxton,2.01338,0.72797,1.63967,0.90095,58.491,15.644,25.865
14168740,26/12/2025,Leamington,Bedford,0.55683,2.24913,1.55734,2.73482,12.093,68.503,19.404
14168741,26/12/2025,Marine,Southport,2.87219,0.07412,2.30914,0.19542,93.95,0.681,5.369
14168742,26/12/2025,Darlington,Scarborough,2.30226,0.46638,1.60912,0.4187,69.03,7.834,23.136
14168744,26/12/2025,Alfreton,Worksop,0.92133,1.77192,0.86574,1.26721,20.486,48.839,30.675
14168745,26/12/2025,South Shields,Spennymoor,2.67757,0.21055,2.61784,0.548,85.523,3.289,11.188
14168746,30/12/2025,Leamington,Alfreton,0.55417,2.21491,0.68085,1.67423,10.775,66.133,23.092
14168747,30/12/2025,Macclesfield,Chester,0.91339,1.79446,0.91573,1.3901,20.708,50.077,29.215
14168748,30/12/2025,King's Lynn,Bedford,1.44247,1.26184,1.47878,1.39043,38.226,32.205,29.569
14168749,30/12/2025,Chorley,Marine,2.5218,0.35697,3.6572,1.60969,80.019,7.858,12.123
14168750,30/12/2025,Kidderminster,Telford,2.34663,0.4062,1.44165,0.23763,69.982,5.301,24.717
14168751,30/12/2025,Worksop,Buxton,1.10652,1.65207,1.70447,2.06332,28.837,47.022,24.141
14168752,30/12/2025,Darlington,South Shields,1.30117,1.41463,1.25415,1.34013,33.899,37.681,28.42
14168753,30/12/2025,Oxford,Peterborough,0.59142,2.14437,0.46452,1.42199,10.907,62.672,26.421
14168754,30/12/2025,Hereford,Merthyr,1.3886,1.38038,1.904,1.90954,38.586,38.312,23.102
14168755,03/01/2026,Bedford,Fylde,1.51843,1.15369,1.06667,0.83951,39.685,27.527,32.788
14168756,30/12/2025,Curzon Ashton,Southport,2.30551,0.53878,2.97436,1.49973,71.66,12.769,15.571
14168757,03/01/2026,Buxton,South Shields,1.02606,1.64277,0.72141,1.07373,23.163,43.72,33.117
14168759,03/01/2026,Chester,Worksop,2.53844,0.3476,3.81682,1.67869,80.816,7.788,11.396
14168760,30/12/2025,Scarborough,Spennymoor,0.48192,2.24289,0.26914,1.29893,6.891,65.59,27.519
14168762,30/12/2025,Radcliffe,Fylde,2.15923,0.60988,1.69529,0.75591,64.278,12.633,23.089
14168764,03/01/2026,Curzon Ashton,Kidderminster,0.89099,1.87412,1.37821,2.05769,21.87,54.641,23.489
14168765,03/01/2026,King's Lynn,Merthyr,0.65971,2.05225,0.47134,1.27325,12.389,58.807,28.804
14168767,03/01/2026,Scarborough,Southport,0.27811,2.59636,0.80266,2.63503,5.086,82.361,12.553
14168777,10/01/2026,Oxford,Buxton,1.56009,1.18953,1.74133,1.50464,43.657,31.305,25.038
14168779,10/01/2026,Chester,Scarborough,2.04061,0.71584,1.85099,1.00712,59.902,15.743,24.355
14168781,10/01/2026,Merthyr,Worksop,2.17466,0.66152,3.42244,2.0672,67.028,16.59,16.382
14168782,17/01/2026,Fylde,Scarborough,2.7743,0.13133,2.33442,0.17667,89.331,1.232,9.437
14168783,17/01/2026,Buxton,Marine,2.84631,0.08886,2.31519,0.20191,92.716,0.801,6.483
