Player Name,Player Team,Average xG,Average Post Shot xG,Player Ave Impact on Post Shot xG
Charlie Lennon,Darlington,0.08012662413793104,0.058674827586206894,-0.02145179655172414
Max Howells,Darlington,0.1181835806451613,0.09915387096774193,-0.019029709677419362
Tye Barton,Darlington,0.005884,0.0,-0.005884
Danny Elliott,Macclesfield,0.16112485185185188,0.15748650000000003,-0.003638351851851851
Josh Kay,Macclesfield,0.0952436896551724,0.08200724137931036,-0.01323644827586204
Justin Johnson,Macclesfield,0.08919884210526315,0.1662557894736842,0.07705694736842104
James Edmondson,Macclesfield,0.10136616176470588,0.11208538235294119,0.01071922058823531
Jai Curran-Nicholls,Marine,0.22670666666666664,0.2464333333333333,0.01972666666666667
Lewis Bell,Marine,0.250371,0.23654899999999998,-0.013822000000000029
Carl Mensah,Bedford,0.071764,0.086596,0.014832000000000012
Declan Drysdale,Marine,0.14781128571428573,0.10918285714285714,-0.03862842857142859
Josh Wardle,Marine,0.14766731249999998,0.2123425,0.06467518750000001
Bailey Marsden,Marine,0.06410253333333334,0.03146,-0.032642533333333335
Ross Crane,King's Lynn,0.08081326388888889,0.06951687499999999,-0.011296388888888897
Tom Wilson,King's Lynn,0.07444492916666667,0.0514724,-0.022972529166666672
La'Sean Sealey,King's Lynn,0.20669888888888888,0.10887,-0.09782888888888888
Luke Hunter,Fylde,0.11868844444444446,0.07111111111111111,-0.047577333333333346
George Wilson,Fylde,0.07200607692307692,0.056725769230769225,-0.015280307692307697
Alex Healy-Byrne,Fylde,0.1433828,0.145143584,0.0017607839999999875
Chris Merrie,Fylde,0.09412009999999998,0.10593349999999999,0.011813400000000002
Jordan Slew,Southport,0.07024258787878788,0.07824378787878787,0.008001199999999986
Jake Taylor,Southport,0.004575,0.0,-0.004575
Djavan Michael Pedro,Southport,0.249295,0.22526000000000002,-0.024034999999999973
Dylan Dwyer,Southport,0.045399999999999996,0.07666166666666667,0.031261666666666674
Dan Pike,Southport,0.042357374999999996,0.06266124999999999,0.020303874999999992
Malakai McKenzie,Southport,0.07928746153846153,0.10283076923076923,0.023543307692307697
Ryan James Cole,Bedford,0.029185,0.02655,-0.0026349999999999985
Luke Griffiths,Southport,0.03981747,0.030189,-0.00962847
Bruce  Jovan Minaker,Kidderminster,0.15525333333333333,0.0702,-0.08505333333333333
Reece Devine,Kidderminster,0.10060310000000001,0.15038,0.0497769
Danny Waldron,Kidderminster,0.15895399999999998,0.06524,-0.09371399999999998
Ashley Hemmings,Kidderminster,0.11092024722222223,0.09399488888888888,-0.01692535833333335
Finley Shrimpton,Chester,0.102017225,0.15809625,0.05607902499999999
Phil Croker,Chester,0.21002325,0.0362,-0.17382324999999998
Fin Roberts,Chester,0.1275165588235294,0.09975411764705881,-0.0277624411764706
Lewis Leigh,Chester,0.042362256097560974,0.0421090243902439,-0.00025323170731707256
Declan Weeks,Chester,0.02852205555555556,0.022259166666666663,-0.006262888888888898
Josh Castiglione,Bedford,0.090724,0.13208,0.041356000000000004
Adam Blakeman,Chorley,0.055328897142857145,0.04357771428571428,-0.011751182857142863
Dan Jarvis,Peterborough,0.07309560277777777,0.11922777777777778,0.04613217500000001
Shaquile Coulthirst,Peterborough,0.13843823076923076,0.13518102564102566,-0.0032572051282050984
George Moncur,Bedford,0.08250982352941176,0.02575470588235294,-0.05675511764705882
Sam McLintock,Peterborough,0.06264913947368421,0.045978421052631585,-0.016670718421052624
Joe Payne,Bedford,0.04721,0.0,-0.04721
Aaron Martin,Worksop,0.1393664677419355,0.14225967741935486,0.0028932096774193505
Liam Waldock,Worksop,0.09447371428571429,0.2539857142857143,0.15951200000000004
Aleks Starcenko,Worksop,0.09793101470588238,0.09782794117647059,-0.00010307352941178738
Luke Waterfall,Worksop,0.13418968421052635,0.16253649999999997,0.028346815789473623
Vaughan  Redford,Worksop,0.11172971875,0.061061875,-0.05066784375
Lewis James Whitham,Worksop,0.09314900892857143,0.08866787732142857,-0.004481131607142863
Oliver Greaves,Worksop,0.129158,0.18024545454545454,0.05108745454545455
Mason O'Malley,Worksop,0.028192444444444447,0.0028326666666666665,-0.02535977777777778
Brad Roscoe,Radcliffe,0.157969,0.13822916666666665,-0.019739833333333345
Ben Nugent,Bedford,0.0898475,0.13235,0.0425025
