Player Name,Player Team,Total xG,Total Post Shot xG,Player Total Impact on Post Shot xG
Luke  Hall,Buxton,2.831886,0.51501,-2.3168759999999997
Isaac Westendorf,Oxford,9.17916,9.03084,-0.14832
DJ Campton-Sturridge,Oxford,15.957116999999998,20.72025,4.763133000000002
Stephonson Louis,Buxton,2.86989,2.6928,-0.17708999999999975
Kallum Griffiths,Darlington,1.7962499999999997,1.098522,-0.6977279999999997
Deniche Hill,Buxton,1.0422,1.2213,0.17910000000000004
George Ward,Buxton,7.57524,10.00086,2.4256199999999994
Kieran Burton,Buxton,6.051975,7.95654,1.9045650000000007
George Pratt,Chorley,0.803106,1.1802000000000001,0.37709400000000015
Craig Hewitt,Chorley,10.240074,13.70319,3.4631159999999994
Adrien Thibaut,Southport,8.671949999999999,9.232109999999999,0.5601599999999998
Callum Steven Edwards,Southport,1.466394,2.13018,0.6637860000000002
Tom Moore,Southport,10.573554,11.956769999999999,1.3832159999999991
Danny Lloyd,Southport,11.0543604,12.835919999999998,1.7815595999999978
Nathan Woodthorpe,Chester,3.8999699999999993,3.2083200000000005,-0.6916499999999988
Hayden Carson,Chester,0.20063999999999999,0.7808999999999999,0.58026
Charlie Williams,Telford,6.509442,5.51904,-0.9904019999999996
Ryan Viggars,Buxton,0.4665,0.0,-0.4665
Adan George,Telford,20.270865,28.306197,8.035332
Joshua Smith,Buxton,1.41567,1.2048,-0.2108699999999999
Sam Sanders,Worksop,0.6705900000000001,1.8410099999999998,1.1704199999999996
Chae Whitman-Brown,Worksop,2.26206,1.5345000000000002,-0.7275599999999998
Jordan Burrow,Worksop,23.959299,19.38675,-4.572549000000002
Adriel Walker,Buxton,2.9199,4.5312,1.6113
Connor Douglas,Buxton,5.12673,3.3944400000000003,-1.7322899999999999
Oliver Bainbridge,South Shields,5.7107399999999995,6.10767,0.3969300000000002
Sean McGurk,South Shields,6.988640999999999,7.908000000000001,0.9193590000000018
Zak Gilsenan,Buxton,8.394879000000001,11.076509999999999,2.6816309999999977
Ashton Mee,Buxton,2.8430640000000005,3.1433400000000002,0.30027599999999977
Kurt Willoughby,Buxton,12.786173999999999,10.305330000000001,-2.4808439999999976
Daniel Jones,Spennymoor,7.614555600000001,4.813890000000001,-2.8006656000000003
Cameron Salkeld,Spennymoor,8.824632,8.962679999999999,0.1380479999999995
Frank Nouble,Spennymoor,4.399851,4.7679,0.36804900000000007
Sonny Sharples,Spennymoor,0.397617,0.23295,-0.164667
Elliott Whitehouse,Peterborough,6.151026,8.37867,2.2276439999999997
Kevin Joshua,Peterborough,1.11921,1.6563,0.5370900000000001
Tom Whelan,Fylde,8.7118386,11.646006,2.9341673999999998
Danny Mayor,Fylde,9.363437999999999,13.79796,4.434522000000001
Terry Bondo,King's Lynn,9.915962999999998,9.2586,-0.6573629999999984
Festus Arthur,King's Lynn,2.048844,0.7458,-1.3030439999999999
